HG00096	GBR	11
HG00097	GBR	11
HG00099	GBR	11
HG00100	GBR	11
HG00101	GBR	11
HG00102	GBR	11
HG00103	GBR	11
HG00105	GBR	11
HG00106	GBR	11
HG00107	GBR	11
HG00108	GBR	11
HG00109	GBR	11
HG00110	GBR	11
HG00111	GBR	11
HG00112	GBR	11
HG00113	GBR	11
HG00114	GBR	11
HG00115	GBR	11
HG00116	GBR	11
HG00117	GBR	11
HG00118	GBR	11
HG00119	GBR	11
HG00120	GBR	11
HG00121	GBR	11
HG00122	GBR	11
HG00123	GBR	11
HG00125	GBR	11
HG00126	GBR	11
HG00127	GBR	11
HG00128	GBR	11
HG00129	GBR	11
HG00130	GBR	11
HG00131	GBR	11
HG00132	GBR	11
HG00133	GBR	11
HG00136	GBR	11
HG00137	GBR	11
HG00138	GBR	11
HG00139	GBR	11
HG00140	GBR	11
HG00141	GBR	11
HG00142	GBR	11
HG00143	GBR	11
HG00145	GBR	11
HG00146	GBR	11
HG00148	GBR	11
HG00149	GBR	11
HG00150	GBR	11
HG00151	GBR	11
HG00154	GBR	11
HG00155	GBR	11
HG00157	GBR	11
HG00158	GBR	11
HG00159	GBR	11
HG00160	GBR	11
HG00171	FIN	10
HG00173	FIN	10
HG00174	FIN	10
HG00176	FIN	10
HG00177	FIN	10
HG00178	FIN	10
HG00179	FIN	10
HG00180	FIN	10
HG00181	FIN	10
HG00182	FIN	10
HG00183	FIN	10
HG00185	FIN	10
HG00186	FIN	10
HG00187	FIN	10
HG00188	FIN	10
HG00189	FIN	10
HG00190	FIN	10
HG00231	GBR	11
HG00232	GBR	11
HG00233	GBR	11
HG00234	GBR	11
HG00235	GBR	11
HG00236	GBR	11
HG00237	GBR	11
HG00238	GBR	11
HG00239	GBR	11
HG00240	GBR	11
HG00242	GBR	11
HG00243	GBR	11
HG00244	GBR	11
HG00245	GBR	11
HG00246	GBR	11
HG00250	GBR	11
HG00251	GBR	11
HG00252	GBR	11
HG00253	GBR	11
HG00254	GBR	11
HG00255	GBR	11
HG00256	GBR	11
HG00257	GBR	11
HG00258	GBR	11
HG00259	GBR	11
HG00260	GBR	11
HG00261	GBR	11
HG00262	GBR	11
HG00263	GBR	11
HG00264	GBR	11
HG00265	GBR	11
HG00266	FIN	10
HG00267	FIN	10
HG00268	FIN	10
HG00269	FIN	10
HG00271	FIN	10
HG00272	FIN	10
HG00273	FIN	10
HG00274	FIN	10
HG00275	FIN	10
HG00276	FIN	10
HG00277	FIN	10
HG00278	FIN	10
HG00280	FIN	10
HG00281	FIN	10
HG00282	FIN	10
HG00284	FIN	10
HG00285	FIN	10
HG00288	FIN	10
HG00290	FIN	10
HG00304	FIN	10
HG00306	FIN	10
HG00308	FIN	10
HG00309	FIN	10
HG00310	FIN	10
HG00311	FIN	10
HG00313	FIN	10
HG00315	FIN	10
HG00318	FIN	10
HG00319	FIN	10
HG00320	FIN	10
HG00321	FIN	10
HG00323	FIN	10
HG00324	FIN	10
HG00325	FIN	10
HG00326	FIN	10
HG00327	FIN	10
HG00328	FIN	10
HG00329	FIN	10
HG00330	FIN	10
HG00331	FIN	10
HG00332	FIN	10
HG00334	FIN	10
HG00335	FIN	10
HG00336	FIN	10
HG00337	FIN	10
HG00338	FIN	10
HG00339	FIN	10
HG00341	FIN	10
HG00342	FIN	10
HG00343	FIN	10
HG00344	FIN	10
HG00345	FIN	10
HG00346	FIN	10
HG00349	FIN	10
HG00350	FIN	10
HG00351	FIN	10
HG00353	FIN	10
HG00355	FIN	10
HG00356	FIN	10
HG00357	FIN	10
HG00358	FIN	10
HG00360	FIN	10
HG00361	FIN	10
HG00362	FIN	10
HG00364	FIN	10
HG00365	FIN	10
HG00366	FIN	10
HG00367	FIN	10
HG00368	FIN	10
HG00369	FIN	10
HG00371	FIN	10
HG00372	FIN	10
HG00373	FIN	10
HG00375	FIN	10
HG00376	FIN	10
HG00378	FIN	10
HG00379	FIN	10
HG00380	FIN	10
HG00381	FIN	10
HG00382	FIN	10
HG00383	FIN	10
HG00384	FIN	10
HG00403	CHS	7
